
   244.06044,   28,   22
   244.07347,    8,   18
   244.07910,   10,   21
   244.08374,    3,    8
   244.09370,   10,   21
   244.09507,    8,   18
   244.09590,   26,   20
   244.10470,   28,   22
   244.10787,   10,   21
   244.11804,   28,   22
   244.12137,   10,   21
   244.13250,   28,   22
   244.13587,   10,   21
   244.14037,    8,   18
   244.14367,   28,   22
   244.14610,    3,    8
   244.14847,   30,   24
   244.15150,   10,   21
   244.16320,    8,   18
   244.17924,   30,   24
   244.18407,   10,   21
   244.18604,    8,   18
   244.19867,   28,   22
   244.19967,   10,   21
   244.20950,    8,   18
   244.21210,   28,   22
   244.21834,   10,   21
   244.23280,    8,   18
   244.23494,   11,   23
   244.23600,   10,   21
   244.23880,   24,   13
   244.24080,    7,   15
   244.25100,   10,   21
   244.25770,    8,   18
   244.26467,   28,   22
   244.26597,   10,   21
   244.26637,    3,    8
   244.27807,   28,   22
   244.28144,    8,   18
   244.28474,   26,   20
   244.28627,   10,   21
   244.28960,   28,   22
   244.29540,   11,   23
   244.30527,    8,   18
   244.30937,   10,   21
   244.32577,   10,   21
   244.32777,    8,   18
   244.33317,   12,   27
   244.33680,   28,   22
   244.33840,   41,   31
   244.33944,   10,   21
   244.34300,    3,    8
   244.35064,   28,   22
   244.35187,    8,   18
   244.35457,   10,   21
   244.36317,   28,   22
   244.37687,    8,   18
   244.38187,   24,   13
   244.38427,    3,    8
   244.38474,   10,   21
   244.38724,   11,   23
   244.39197,   19,    6
   244.39870,   10,   21
   244.40017,   41,   31
   244.40084,    8,   18
   244.40917,    7,   15
   244.41250,   10,   21
   244.41570,   28,   22
   244.42370,    3,    8
   244.42737,    8,   18
   244.42864,   10,   21
   244.43307,   28,   22
   244.43674,    8,   18
   244.44154,   24,   13
   244.44410,   28,   22
   244.44864,   24,   13
   244.45094,   28,   22
   244.45340,    8,   18
   244.45694,   24,   13
   244.46337,   28,   22
   244.46947,   24,   13
   244.47184,    7,   15
   244.47407,    8,   18
   244.49690,   23,   12
   244.49914,    8,   18
   244.50360,   10,   21
   244.50870,   30,   24
   244.50957,   37,   26
   244.51614,   11,   23
   244.51787,   10,   21
   244.51820,   28,   22
   244.52200,   11,   23
   244.52260,   19,    6
   244.52587,    8,   18
   244.53260,   10,   21
   244.53880,   30,   24
   244.54537,   41,   31
   244.54547,   10,   21
   244.54920,    8,   18
   244.55080,    3,    8
   244.55994,   10,   21
   244.56084,   28,   22
   244.57170,   24,   13
   244.57210,    8,   18
   244.57500,   10,   21
   244.58150,   28,   22
   244.58830,    9,   20
   244.59520,    8,   18
   244.60837,   28,   22
   244.61477,    8,   18
   244.61917,    7,   15
   244.62034,   24,   13
   244.63290,    8,   18
   244.64627,   10,   21
   244.65580,    8,   18
   244.65924,   10,   21
   244.66617,   11,   23
   244.67240,   11,   23
   244.67310,   10,   21
   244.67507,   28,   22
   244.67740,    3,    8
   244.68024,    8,   18
   244.68567,   28,   22
   244.69520,   28,   22
   244.70134,    8,   18
   244.71300,   28,   22
   244.71307,   43,   26
   244.71520,   10,   21
   244.71820,   24,   13
   244.71957,    3,    8
   244.72250,    8,   18
   244.72717,   10,   21
   244.72834,    7,   15
   244.73034,   24,   13
   244.73290,   41,   31
   244.73430,   24,   13
   244.74174,   24,   13
   244.74287,   10,   21
   244.75267,    3,    8
   244.75274,    8,   18
   244.75517,    7,   15
   244.75644,   24,   13
   244.76090,   30,   24
   244.76167,   28,   22
   244.76787,   13,   28
   244.76800,   30,   24
   244.77127,    8,   18
   244.77134,   19,    6
   244.77544,   28,   22
   244.78120,   10,   21
   244.78730,    8,   18
   244.80350,   24,   13
   244.80694,    8,   18
   244.81174,   25,   15
   244.81257,   41,   31
   244.81780,   41,   31
   244.82454,   10,   21
   244.83107,    8,   18
   244.83704,   24,   13
   244.83747,   10,   21
   244.84490,   24,   13
   244.85130,   24,   13
   244.85467,   41,   31
   244.85490,   10,   21
   244.85540,   24,   13
   244.86030,   24,   13
   244.86167,    9,   20
   244.86444,   28,   22
   244.86494,    6,   13
   244.86587,    8,   18
   244.86770,    8,   18
   244.87187,    7,   15
   244.87564,   12,   27
   244.87794,    3,    8
   244.87844,   13,   28
   244.88270,    6,   13
   244.88707,    8,   18
   244.88900,   11,   23
   244.89384,   28,   22
   244.89650,   12,   27
   244.90387,    8,   18
   244.90570,   41,   31
   244.91114,   28,   22
   244.91687,    9,   20
   244.92274,   24,   13
   244.92470,   25,   15
   244.92514,   24,   13
   244.92574,    8,   18
